date,retail_price_lkr,kurunegala_producer_price_lkr,puttalam_producer_price_lkr,gampaha_producer_price_lkr,exchange_rate_usd_to_lkr,fuel_price_lad
1/1/1996,7.53,5.721,5.71179,5.702463,53.69,12.4
2/1/1996,8.33,6.034,6.02479,6.015463,53.69,12.4
3/1/1996,8.93,5.64,5.63079,5.621463,53.69,12.4
4/1/1996,9.25,5.583,5.57379,5.564463,54.74,12.4
5/1/1996,9.25,6.205,6.19579,6.186463,54.95,12.4
6/1/1996,9.30,6.45,6.44079,6.431463,55.51,12.4
7/1/1996,8.73,5.856,5.84679,5.837463,55.12,12.4
8/1/1996,8.80,5.769,5.75979,5.750463,55.60,12.4
9/1/1996,9.42,6.85,6.84079,6.831463,56.60,13.2
10/1/1996,10.15,7.443,7.43379,7.424463,57.05,13.2
11/1/1996,11.03,8.795,8.78579,8.776463,56.63,13.2
12/1/1996,11.66,8.463,8.45375,8.444423,56.73,13.2
1/1/1997,12.20,7.852,7.84277,7.833443,57.69,13.2
2/1/1997,12.13,6.958,6.94877,6.939443,57.50,13.2
3/1/1997,11.88,6.723,6.71377,6.704443,58.33,13.2
4/1/1997,11.37,6.5,6.49077,6.481443,59.20,13.2
5/1/1997,10.19,5.759,5.74977,5.740443,58.31,13.2
6/1/1997,9.47,6.353,6.34377,6.334443,58.49,13.2
7/1/1997,9.25,6.36,6.35077,6.341443,58.85,13.2
8/1/1997,9.29,6.225,6.21577,6.206443,59.29,13.2
9/1/1997,9.83,6.225,6.21577,6.206443,59.75,13.2
10/1/1997,10.01,6.16,6.15077,6.141443,59.78,13.2
11/1/1997,10.16,6.344,6.33477,6.325443,60.75,13.2
12/1/1997,10.81,6.495,6.48577,6.476443,61.75,13.2
1/1/1998,11.36,7.162,7.15277,7.143443,62.25,13.2
2/1/1998,11.69,7.819,7.80977,7.800443,61.68,13.2
3/1/1998,11.73,6.5,6.49077,6.481443,62.38,13.2
4/1/1998,12.15,6.72,6.71077,6.701443,63.31,13.2
5/1/1998,10.95,6.21,6.20077,6.191443,65.00,13.2
6/1/1998,10.48,6.83,6.82077,6.811443,65.40,13.2
7/1/1998,10.19,6.511,6.50177,6.492443,65.93,13.2
8/1/1998,9.96,6.632,6.62277,6.613443,66.53,13.2
9/1/1998,10.30,6.796,6.78677,6.777443,65.99,13.2
10/1/1998,10.84,7.372,7.36277,7.353443,67.08,13.2
11/1/1998,11.79,7.8,7.79077,7.781443,67.90,13.2
12/1/1998,12.46,7.842,7.83277,7.823443,68.43,13.2
1/1/1999,13.13,8.918,8.90877,8.899443,68.83,13.2
2/1/1999,13.34,9.654,9.64477,9.635443,69.53,13.2
3/1/1999,13.71,9.228,9.21877,9.209443,69.43,13.2
4/1/1999,13.88,8.636,8.62677,8.617443,69.63,13.2
5/1/1999,10.22,7.721,7.71177,7.702443,70.85,13.2
6/1/1999,12.77,6.283,6.27377,6.264443,71.55,13.2
7/1/1999,11.79,7.711,7.70177,7.692443,71.60,13.2
8/1/1999,10.91,7.319,7.30977,7.300443,71.80,13.2
9/1/1999,10.57,7.228,7.21877,7.209443,71.73,13.2
10/1/1999,10.89,6.937,6.92777,6.918443,71.55,13.2
11/1/1999,11.15,6.509,6.49977,6.490443,72.10,13.2
12/1/1999,10.77,6.609,6.59977,6.590443,71.50,13.2
1/1/2000,10.40,6.695,6.68577,6.676443,73.15,13.2
2/1/2000,10.08,6.62,6.61077,6.601443,73.48,16.2
3/1/2000,9.59,5.572,5.56277,5.553443,73.75,16.2
4/1/2000,9.43,4.804,4.79477,4.785443,74.30,16.2
5/1/2000,9.14,4.718,4.70877,4.699443,74.74,16.2
6/1/2000,8.81,3.787,3.77777,3.768443,78.90,19.5
7/1/2000,8.53,4.017,4.00777,3.998443,78.35,19.5
8/1/2000,8.43,4.607,4.59777,4.588443,78.05,19.5
9/1/2000,8.75,4.383,4.37377,4.364443,79.15,19.5
10/1/2000,8.56,4.175,4.16577,4.156443,79.41,19.5
11/1/2000,8.63,3.921,3.91177,3.902443,81.45,21.5
12/1/2000,8.14,3.525,3.51577,3.506443,82.70,24.5
1/1/2001,8.18,4.097,4.08777,4.078443,89.50,24.5
2/1/2001,8.95,4.832,4.82277,4.813443,86.50,24.5
3/1/2001,9.25,4.785,4.77577,4.766443,86.35,24.5
4/1/2001,9.04,4.521,4.51177,4.502443,90.45,27.5
5/1/2001,8.56,4.517,4.50777,4.498443,91.83,27.5
6/1/2001,8.58,5.552,5.54277,5.533443,90.63,27.5
7/1/2001,7.68,6.167,6.15777,6.148443,89.90,27.5
8/1/2001,9.67,6.265,6.25577,6.246443,89.88,27.5
9/1/2001,11.01,7.594,7.58477,7.575443,90.05,27.5
10/1/2001,11.89,7.476,7.46677,7.457443,91.75,27.5
11/1/2001,12.14,8.385,8.37577,8.366443,93.15,27.5
12/1/2001,14.65,9.917,9.90777,9.898443,93.00,16.5
1/1/2002,16.22,11.188,11.17877,11.169443,93.45,16.5
2/1/2002,16.45,10.2,10.19077,10.181443,93.60,26
3/1/2002,14.68,10.521,10.51177,10.502443,95.60,26
4/1/2002,14.24,9.575,9.56577,9.556443,96.05,28
5/1/2002,13.79,10.033,10.02377,10.014443,96.15,30
6/1/2002,13.83,11.038,11.02877,11.019443,96.15,30.5
7/1/2002,14.11,11.345,11.33577,11.326443,96.08,27.5
8/1/2002,14.14,11.175,11.16577,11.156443,96.20,28
9/1/2002,14.71,11.415,11.40577,11.396443,96.25,28.5
10/1/2002,14.71,10.96,10.95077,10.941443,96.25,30
11/1/2002,15.51,10.821,10.81177,10.802443,96.28,30
12/1/2002,15.58,11.464,11.45477,11.445443,96.60,30
1/1/2003,15.45,12.227,12.21777,12.208443,96.80,30
2/1/2003,15.31,11.411,11.40177,11.392443,96.89,30
3/1/2003,14.90,10.292,10.28277,10.273443,96.95,30
4/1/2003,14.46,8.8,8.79077,8.781443,97.13,30
5/1/2003,14.05,8.699,8.68977,8.680443,97.23,30
6/1/2003,12.57,7.537,7.52777,7.518443,97.16,30
7/1/2003,12.09,7.507,7.49777,7.488443,97.14,30
8/1/2003,12.37,8.525,8.51577,8.506443,96.83,30
9/1/2003,12.41,8.487,8.47777,8.468443,94.36,31.5
10/1/2003,12.44,7.73,7.72077,7.711443,94.76,30.5
11/1/2003,12.08,8.25,8.24077,8.231443,96.43,31
12/1/2003,12.64,8.515,8.50577,8.496443,96.55,32
1/1/2004,12.69,8.31,8.30077,8.291443,97.28,32
2/1/2004,12.83,8.41,8.40077,8.391443,98.59,32
3/1/2004,12.67,8.21,8.20077,8.191443,97.60,32
4/1/2004,12.98,8.05,8.04077,8.031443,98.30,32
5/1/2004,12.54,8.27,8.26077,8.251443,99.20,32
6/1/2004,12.30,8.275,8.26577,8.256443,102.35,32
7/1/2004,13.68,9.16,9.15077,9.141443,103.63,32
8/1/2004,13.79,9.74,9.73077,9.721443,103.13,36
9/1/2004,15.01,10.075,10.06577,10.056443,103.58,44
10/1/2004,16.84,10.06,10.05077,10.041443,104.15,44
11/1/2004,18.53,11.33,11.32077,11.311443,104.83,44
12/1/2004,21.02,15.1,15.09077,15.081443,104.48,44
1/1/2005,20.80,15.22,15.21062,15.201293,99.05,44
2/1/2005,20.71,16.375,16.36562,16.356293,99.50,44
3/1/2005,19.17,15.845,15.83562,15.826293,99.70,44
4/1/2005,18.50,13.97,13.96062,13.951293,99.78,44
5/1/2005,16.75,13.45,13.44062,13.431293,99.93,46
6/1/2005,17.00,13.23,13.22062,13.211293,100.15,50
7/1/2005,14.50,10.56,10.55062,10.541293,100.70,50
